"state","pop_dens","pop","area"
"New Jersey",467.2,8958013,19046.8
"Rhode Island",394.4,1056298,2678
"Massachusetts",336.3,6794422,20201.9
"Connecticut",286.3,3590886,12540.7
"Maryland",238.9,6006401,25141
"Delaware",187.4,945934,5047.9
"New York",162.2,19795791,122055.8
"Florida",145.9,20271272,138888.1
"Pennsylvania",110.5,12802503,115883.8
"Ohio",109.7,11613423,105829.5
"California",97,39144818,403465.8
"Illinois",89.4,12859995,143793.5
"Hawaii",86.1,1431603,16635.5
"Virginia",82,8382993,102278.6
"North Carolina",79.8,10042802,125920
"Indiana",71.4,6619680,92788.9
"Georgia",68.6,10214860,148958
"Michigan",67.8,9922576,146435.3
"South Carolina",62.9,4896146,77857.6
"Tennessee",61.8,6600299,106798.2
"New Hampshire",57.4,1330608,23188.2
"Kentucky",43.2,4425092,102268.3
"Louisiana",41.7,4670724,111897.8
"Washington",41.7,7170351,172120.2
"Wisconsin",41.2,5771337,140268.6
"Texas",40.6,27469114,676587.8
"Alabama",37,4858979,131169.9
"Missouri",34.2,6083672,178041
"West Virginia",29.6,1844128,62258.1
"Minnesota",26.6,5489594,206233
"Vermont",26.2,626042,23871.9
"Mississippi",24.6,2992333,121530
"Arizona",23.2,6828065,294207.1
"Arkansas",22.1,2978204,134770
"Oklahoma",22,3911338,177660.2
"Iowa",21.6,3123899,144669
"Colorado",20.3,5456574,268431.5
"Maine",16.6,1329328,79883
"Oregon",16.2,4028977,248607.8
"Utah",14.1,2995919,212819.3
"Kansas",13.7,2911641,211754.8
"Nevada",10.2,2890845,284331.5
"Nebraska",9.5,1896190,198973.2
"Idaho",7.7,1654930,214044.4
"New Mexico",6.6,2085109,314160.4
"South Dakota",4.4,858469,196349.6
"North Dakota",4.2,756927,178711.8
"Montana",2.7,1032949,376962.4
"Wyoming",2.3,586107,251469.7
"Alaska",0.5,738432,1477953.4
